"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gas5",1.94819193825215e-19,0.930228236597428,0.691,0.461,2.63804670358723e-15
"H2-Q7",2.27579517627172e-19,1.01972914762699,0.649,0.42,3.08165424818954e-15
"Basp1",3.04580500415267e-19,-3.31475629960865,0.012,0.107,4.12432455612313e-15
"Ms4a4b",4.31800212431443e-19,0.711132258881869,0.877,0.715,5.84700667653417e-15
"Rps27a",5.21099679674954e-19,-0.736377745656084,0.636,0.781,7.05621076247856e-15
"Gm15500",1.12255367544591e-18,-0.48671930465895,0.919,0.964,1.52004993192131e-14
"Gm14586",1.81291898308509e-18,-0.731657406473313,0.605,0.776,2.45487359499552e-14
"Cd52",4.51012892712551e-18,-0.545618809522424,0.896,0.949,6.10716558022066e-14
"Znfx1",6.19815649999532e-18,2.77733071662931,0.243,0.043,8.39292371664367e-14
"Rpl13",6.25709611186455e-18,-0.408060139830268,0.948,0.964,8.47273384507579e-14
"Ahsg",6.86146657977827e-18,-9.74909256584325,0,0.059,9.29111189567776e-14
"BC006779",9.00468102377978e-18,2.71772295932869,0.246,0.048,1.21932385743002e-13
"Oas3",1.22430661288687e-17,2.06757191580013,0.283,0.071,1.65783358451011e-13
"Nt5c3",1.35225100160544e-17,2.44014984166839,0.267,0.066,1.83108308127393e-13
"Rnf114",1.44193233735306e-17,1.44794020038125,0.429,0.193,1.95252057800978e-13
"Tap1",1.78536259714088e-17,1.33013009469982,0.446,0.206,2.41755949278846e-13
"Rps28",2.42433311863978e-17,-0.45205436031413,0.922,0.959,3.28278947595013e-13
"Gm15710",3.40002814249363e-17,-0.399760537523911,0.956,0.972,4.60397810775063e-13
"Oas1a",3.53794283443059e-17,4.28139191904963,0.187,0.015,4.79072839210246e-13
"Rplp0",4.35347879041167e-17,-0.386645018361366,0.975,0.997,5.89504563009644e-13
"Ddx60",4.59679799978332e-17,2.29286134358264,0.245,0.051,6.22452417150659e-13
"Vim",5.53208953196828e-17,-1.3075635696188,0.242,0.435,7.49100243523825e-13
"Rpl10a-ps1",1.10873343516002e-16,-0.640744519625977,0.713,0.817,1.50133594455018e-12
"Gbp6",1.1674529808808e-16,2.0833089687845,0.251,0.056,1.58084808141069e-12
"Ifi35",1.760743640436e-16,2.12142647352513,0.289,0.087,2.38422296351439e-12
"Itm2b",3.36379220590571e-16,0.873001393774833,0.689,0.501,4.55491102601692e-12
"Ctss",6.64585225771526e-16,1.22355106411642,0.501,0.275,8.99914854217224e-12
"Tgtp1",8.21750795315177e-16,1.76709337572364,0.278,0.079,1.11273275193628e-11
"Trf",1.22387309482746e-15,-5.94734306586418,0.002,0.061,1.65724655770586e-11
"Pabpc1",1.69110808852631e-15,-0.623122873309479,0.724,0.84,2.28992946267348e-11
"H2-Q6",2.19446713200171e-15,1.51461286525788,0.359,0.15,2.97152794344352e-11
"Parp14",4.29124801655014e-15,1.60433863770166,0.353,0.148,5.81077893921054e-11
"Hspa8",5.29075142815351e-15,0.599956150746471,0.863,0.733,7.16420650886267e-11
"Tor3a",1.02702104831416e-14,3.37206519253077,0.175,0.02,1.39068920152221e-10
"AW112010",1.84805613378277e-14,0.816815843613174,0.653,0.44,2.50245281075525e-10
"Rpl23",3.42960613859519e-14,-0.362252355211242,0.95,0.98,4.64402967227175e-10
"Mx2",5.47565841914036e-14,8.92368617969963,0.13,0,7.41458906535796e-10
"Tmbim6",6.45234726347923e-14,1.08870710373692,0.468,0.26,8.73712342947722e-10
"Thy1",7.82717569641667e-14,-0.755339006473654,0.543,0.705,1.05987786105178e-09
"Ncoa7",1.10213285883082e-13,3.14650971986405,0.165,0.02,1.49239810414281e-09
"Dhx58",1.13656267304923e-13,2.58282373267058,0.176,0.025,1.53901951557597e-09
"Rps10",1.35077618999027e-13,-0.315986672209842,0.963,0.982,1.82908603886582e-09
"Rps19",1.5875182688399e-13,-0.32507478844557,0.98,0.997,2.1496584878361e-09
"Psmb9",2.10079830819631e-13,1.07087064290212,0.467,0.252,2.84469098912862e-09
"Il2rg",2.6869756830002e-13,0.807425421200337,0.684,0.499,3.63843377235057e-09
"Etnk1",2.85135910861599e-13,1.63499515076493,0.295,0.112,3.86102536897692e-09
"Irf9",3.0327922644508e-13,1.94649495822862,0.296,0.12,4.10670400529283e-09
"Rps3a",3.0952821292865e-13,-0.404112823173438,0.908,0.972,4.19132153126685e-09
"Rps24-ps3",4.46377087079303e-13,-0.51065218845183,0.832,0.87,6.04439213614084e-09
"Gbp10",4.54018038425101e-13,3.24750550514691,0.159,0.02,6.1478582583143e-09
"1600014C10Rik",6.91339302794566e-13,1.74955296936567,0.254,0.084,9.36142549914122e-09
"Rpl36a-ps1",1.12437665668601e-12,-0.492557031269132,0.663,0.802,1.52251843081853e-08
"Parp12",1.20937882263126e-12,4.1474235318634,0.137,0.01,1.63761986372498e-08
"Gm14303",1.22466443917953e-12,-0.486994785923345,0.745,0.85,1.658318117093e-08
"Trim30d",1.86860502162093e-12,1.82401090594927,0.195,0.043,2.5302780597769e-08
"Eif2ak2",2.07082794802505e-12,2.91384054483633,0.159,0.023,2.80410812442072e-08
"Eef1b2",2.21860787746597e-12,-0.364148251563114,0.899,0.954,3.00421692687667e-08
"Eef2",3.00183259896875e-12,-0.527378837232473,0.842,0.873,4.06478152226359e-08
"Ifi27l1",3.06894289041511e-12,-1.73385194701204,0.03,0.12,4.1556555679111e-08
"Ncf2",3.23043632102392e-12,-3.17470158658256,0.01,0.074,4.37433382229848e-08
"AC113316.1",4.92203391845636e-12,0.537568704593986,0.987,0.975,6.66492612898175e-08
"Npc2",5.51379328329821e-12,0.780624999310194,0.606,0.422,7.4662274849141e-08
"Rps2",7.36811269212375e-12,-0.408233290586509,0.893,0.934,9.97716139640478e-08
"Gm7363",7.56775616494e-12,-0.406545270268439,0.906,0.947,1.02474986229452e-07
"Rps3",8.02067548651988e-12,-0.302336800809189,0.985,0.987,1.08607966762966e-07
"Sp110",9.73013557020835e-12,1.19419873210574,0.38,0.196,1.31755765756191e-07
"Ube2l6",9.86936086449923e-12,6.3382928652219,0.113,0.003,1.33641015466184e-07
"Nmi",1.07777867662216e-11,1.23535351825956,0.304,0.125,1.45942010601407e-07
"Uba7",1.2765538455956e-11,1.67664258521463,0.244,0.084,1.728581562321e-07
"9930111J21Rik2",1.36723436350339e-11,1.73797106484665,0.237,0.081,1.85137205161994e-07
"Psmb10",1.87490350832224e-11,1.03175335567977,0.452,0.27,2.53880684061915e-07
"Cxcl10",2.55286000378407e-11,3.17274480747806,0.154,0.028,3.45682773112401e-07
"Rpl13a",2.80669128465504e-11,-0.259546806657967,0.997,1,3.80054066855139e-07
"Trim30c",3.52128866227864e-11,2.77823187354574,0.15,0.025,4.76817697759151e-07
"Nhp2",3.94975978626305e-11,-1.52221159622717,0.122,0.254,5.3483697265788e-07
"Gm13532",4.50479536189145e-11,-0.825329744195653,0.399,0.547,6.09994339953721e-07
"Gm13226",4.7202798000971e-11,-0.793078424663741,0.415,0.56,6.39173087731148e-07
"Tbrg1",5.025140534184e-11,1.60093589939884,0.296,0.132,6.80454279733856e-07
"Gm7290",5.20729425185262e-11,-0.703655758449735,0.446,0.595,7.05119714643363e-07
"Gm13436",5.66007568288441e-11,-0.436975897584641,0.808,0.868,7.66430848219377e-07
"Gm8369",7.58999895158415e-11,1.93055420961756,0.158,0.031,1.02776175803401e-06
"Amica1",7.60591271361205e-11,1.63376279459205,0.236,0.084,1.02991664055021e-06
"Gm8759",8.17301430858126e-11,-0.498366620684318,0.748,0.809,1.10670786752499e-06
"Usp25",8.30741396600024e-11,1.50870013253721,0.274,0.117,1.12490692513609e-06
"Tor1aip2",8.35973520789924e-11,1.71532015564577,0.196,0.056,1.13199174450164e-06
"Adar",9.75660869851665e-11,1.71660974700514,0.229,0.079,1.32114238386614e-06
"Gm12185",1.41913455577685e-10,3.58222125354763,0.126,0.015,1.92165010197743e-06
"Rpsa-ps10",1.7029128516722e-10,-0.310031943819444,0.94,0.954,2.30591429244932e-06
"mmu-mir-703",2.07297807826826e-10,-0.210715907510256,0.999,1,2.80701961578305e-06
"SNORD79",2.12649829033368e-10,1.08886639029222,0.383,0.216,2.87949133494083e-06
"Gzma",2.24145897838431e-10,4.87151686583011,0.105,0.005,3.0351596026302e-06
"Gm2000",2.76727237854113e-10,-0.529151761692545,0.703,0.771,3.74716352778255e-06
"Gm11361",2.79005267199652e-10,-0.332031825019132,0.907,0.962,3.77801032315048e-06
"Cd53",3.18866990731907e-10,0.674314988781607,0.617,0.438,4.31777792150075e-06
"Gm10269",3.54454791962683e-10,-0.637437584644962,0.445,0.59,4.79967233796669e-06
"Phf11",3.74095767349235e-10,3.43398634143461,0.122,0.015,5.06563078567599e-06
"Rps19-ps7",4.33219580035571e-10,-0.502799324200886,0.715,0.807,5.86622633326166e-06
"Hspa5",4.98255312512852e-10,1.13147989341576,0.414,0.239,6.74687518673654e-06
"Cfl1",4.99547874592154e-10,-0.469230764066606,0.792,0.837,6.76437776985235e-06
"Crip1",5.63921427733537e-10,-1.25819058581344,0.185,0.313,7.63606005293982e-06
"Slco3a1",5.81119507067243e-10,1.97387644901619,0.169,0.043,7.86893924519754e-06
"Tlr7",6.52983249266817e-10,2.96103667247444,0.121,0.015,8.84204617832197e-06
"Trim21",6.91624855575039e-10,2.13265276530016,0.162,0.041,9.3652921693416e-06
"Gm10059",7.16493421721333e-10,-0.494982120884183,0.632,0.756,9.70203742352858e-06
"Gbp8",8.46672214267226e-10,2.51605435201026,0.157,0.038,1.14647884533925e-05
"Rpl10",9.26306524386108e-10,-0.448077703483521,0.806,0.85,1.25431166467123e-05
"Mycbp2",9.50139079214754e-10,1.07146257391274,0.352,0.188,1.2865833271647e-05
"Rps16",1.17323372326045e-09,-0.424224022217656,0.837,0.893,1.58867578466698e-05
"Gm9000",1.21307312713175e-09,-0.4719721646175,0.629,0.735,1.6426223214491e-05
"Nlrc5",1.2178827400092e-09,1.27832670426003,0.252,0.104,1.64913501824646e-05
"Gm15459",1.35092348074972e-09,0.785025250476118,0.48,0.313,1.8292854852832e-05
"Rplp2",1.57805472293037e-09,-0.301829814609671,0.969,0.99,2.13684390032002e-05
"Tgtp2",1.71940944178374e-09,1.84816841960255,0.168,0.046,2.32825232511936e-05
"Acadl",1.76988804281831e-09,1.87870391428853,0.177,0.053,2.39660539878027e-05
"Trim12c",1.83017322929631e-09,1.46315695888289,0.184,0.056,2.47823756979013e-05
"AW011738",1.87038402824858e-09,3.43585168236034,0.106,0.01,2.5326870126514e-05
"Gm10119",2.19164434896232e-09,-0.473641830053055,0.63,0.748,2.96770561292988e-05
"Gm11478",2.20040176126872e-09,-0.384552631281267,0.875,0.921,2.97956402493397e-05
"Rps4x",2.21899044159641e-09,-0.322907048332943,0.932,0.957,3.0047349569657e-05
"Irf1",2.61920569656616e-09,0.944497265336398,0.349,0.183,3.54666643372024e-05
"D17H6S56E-5",2.71496286415312e-09,2.22432809816437,0.155,0.041,3.67633121434974e-05
"Psma2",3.20442674801206e-09,0.906989099377408,0.395,0.226,4.33911425948313e-05
"Nme2",3.33837719678866e-09,-0.717975678120672,0.411,0.547,4.52049656217152e-05
"Zcchc11",3.34333635277886e-09,1.06376533592624,0.286,0.135,4.52721175529785e-05
"Apobec3",3.73573150770062e-09,1.11976577008558,0.296,0.142,5.05855403457741e-05
"Snord12",4.71515800690819e-09,2.0726128238838,0.141,0.033,6.38479545715438e-05
"Gm1966",4.89026835068093e-09,2.34338465036218,0.137,0.031,6.62191237365705e-05
"Phip",5.11947688151261e-09,1.36103759557428,0.218,0.084,6.93228364525622e-05
"Gzmb",5.27186613618e-09,5.05954525454995,0.087,0.003,7.13863393500134e-05
"Ifitm3",5.59815554243388e-09,2.64543003307475,0.139,0.033,7.58046242000972e-05
"Sp140",6.66596472275927e-09,1.85428393014772,0.16,0.046,9.02638283108832e-05
"Dusp2",6.78888732928176e-09,-1.59499697568124,0.095,0.198,9.19283233258043e-05
"Mrpl30",6.90642792231144e-09,0.948168649784632,0.343,0.188,9.35199404960192e-05
"Malat1",7.62880252716269e-09,0.618428237666139,0.76,0.608,0.00010330161502031
"H2-M3",1.3688321160361e-08,2.64483632792776,0.131,0.031,0.000185353556832449
"Rps18",1.41643321530103e-08,-0.247154712875805,0.983,0.987,0.000191799221683912
"Gbp3",1.67414681623252e-08,2.96679233446785,0.11,0.018,0.000226696220386045
"Rplp1",1.78003601357018e-08,-0.233852978294524,0.99,1,0.000241034676597539
"Rps20",2.00024903454379e-08,-0.223693996574964,0.988,1,0.000270853721767575
"Tmsb10",2.35731780675633e-08,-0.329397174824725,0.848,0.908,0.000319204404212875
"Rps19-ps3",2.6326800978787e-08,-0.542473058570079,0.51,0.646,0.000356491212053755
"Dtx1",2.7680150037484e-08,0.966782772558619,0.307,0.163,0.000374816911657571
"Tmem184b",3.27836019754929e-08,7.77412500573102,0.073,0,0.00044392275435015
"Eef1g",4.17245509418265e-08,-0.598132245735019,0.598,0.682,0.000564992144303273
"Rbl1",4.26291135239557e-08,2.44841252961387,0.107,0.018,0.000577240826227884
"2410004N09Rik",4.43654511017106e-08,1.53819479737451,0.211,0.089,0.000600752573368263
"Xpo1",4.535772204771e-08,1.31954156527948,0.211,0.087,0.000614188914248042
"Rps16-ps2",4.72385860173689e-08,-0.540840042273936,0.578,0.674,0.000639657693261192
"Gm15430",4.86892529425298e-08,-0.297944826958589,0.895,0.931,0.000659301174094796
"Gm10186",5.11523130584716e-08,-0.344766648750126,0.825,0.878,0.000692653471124764
"Gm16053",5.26099396417481e-08,-1.02226863525378,0.129,0.239,0.000712391192688911
"1190002H23Rik",5.57428677968179e-08,-1.57381228924036,0.062,0.145,0.000754814172836711
"Gm9844",5.67545803505339e-08,-0.554337681127361,0.495,0.606,0.000768513772526579
"Rpl28-ps3",5.90383447071467e-08,-0.402286032853941,0.712,0.812,0.000799438225679473
"Rpl35",6.41935879038994e-08,-0.383521931516159,0.734,0.814,0.000869245373806702
"Rps26",7.1389527781343e-08,-0.311946774111136,0.89,0.947,0.000966685595687165
"Gm10136",7.28984684533907e-08,-0.485566737965687,0.625,0.695,0.000987118161327364
"Il18bp",8.081162046156e-08,8.02512760836528,0.069,0,0.00109427015266998
"Sdc3",8.97195874229374e-08,2.54366374231368,0.085,0.008,0.00121489293329399
"Rpl21-ps8",9.5498182261457e-08,-0.435532707371248,0.691,0.784,0.00129314088600239
"Cxcr4",9.68566576107171e-08,-1.26689232975735,0.053,0.132,0.00131153600070672
"Eif3m",9.73808480183537e-08,0.929183912081689,0.342,0.204,0.00131863406301653
"Rpl4",9.7382926922053e-08,-0.234644065791967,0.979,0.99,0.00131866221345152
"Treml2",1.02048508814115e-07,0.897014881471933,0.273,0.137,0.00138183885785193
"Rpl35a",1.10300751992282e-07,-0.306837044598909,0.876,0.893,0.0014935824827275
"Gm16288",1.20640799725906e-07,-0.921294294875018,0.181,0.298,0.00163359706908849
"Rps21",1.29844759881156e-07,-0.234896779807259,0.987,0.995,0.00175822789355074
"Lgals8",1.46446281442435e-07,3.1020636138694,0.087,0.01,0.00198302909701201
"Pdcd4",1.48919623346279e-07,-0.704567379707388,0.291,0.417,0.00201652061973196
"Arrb2",1.53036216519275e-07,-1.32037051490587,0.084,0.173,0.00207226340788751
"Ubc",1.77218538969564e-07,0.520764831920474,0.502,0.349,0.00239971623618686
"Clic4",1.79115704730886e-07,1.85519140000169,0.121,0.031,0.00242540575776093
"AI662270",1.84956423306652e-07,1.38340670652554,0.193,0.081,0.00250449492799538
"H2-T10",1.8820362646244e-07,1.36323249871811,0.153,0.051,0.00254846530592789
"Rpl10a",2.79161747860171e-07,-0.448000011556311,0.603,0.705,0.00378012922777457
"Gm16247",3.06535064437663e-07,-0.262559159072864,0.901,0.944,0.00415079130755039
"Lcp1",3.38402516847331e-07,-0.572195773919494,0.478,0.583,0.00458230848062971
"Cd274",3.41570416292809e-07,2.05816011786987,0.129,0.038,0.00462520500702092
"Ddit4",3.51757094172519e-07,-1.66423110772781,0.037,0.102,0.00476314281219008
"Gm11353",3.89149381360223e-07,-0.698613757539741,0.277,0.399,0.00526947177299878
"Cnn2",3.93019210907358e-07,-0.497425164642662,0.561,0.654,0.00532187313489654
"Nampt",3.9850886464335e-07,2.22483354252416,0.118,0.031,0.00539620853613561
"Ascc3",4.38343719034005e-07,1.58847194648195,0.13,0.038,0.00593561229943946
"Gm14456",4.39045538697657e-07,-0.211550559518175,0.986,0.992,0.00594511563950497
